titulo,preco,rating,disponibilidade,categoria,imagem_url,id
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,5,In stock,Sequential Art,https://books.toscrape.com/media/cache/26/1c/261c4eaf957ae4aacf2229b482e76dbe.jpg,1
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,In stock,Sequential Art,https://books.toscrape.com/media/cache/aa/74/aa74004807e97a79aa084b5db329a99b.jpg,2
I am a Hero Omnibus Volume 1,54.63,3,In stock,Science,https://books.toscrape.com/media/cache/16/d4/16d443437126bf6d536a89312c1995a5.jpg,3
How to Be Miserable: 40 Strategies You Already Use,46.03,1,In stock,Young Adult,https://books.toscrape.com/media/cache/da/8b/da8bc9b824dd3f446ef63e438ddbfc85.jpg,4
Her Backup Boyfriend (The Sorensen Family #1),33.97,1,In stock,Romance,https://books.toscrape.com/media/cache/1e/bb/1ebbbc3e2d3249b111033cfc40763b0b.jpg,5
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,In stock,Fantasy,https://books.toscrape.com/media/cache/90/6f/906f0168b0e155a7077625499b1737b5.jpg,6
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,In stock,Self Help,https://books.toscrape.com/media/cache/d6/58/d658a1485b130ff26ca5fb0d5975ed2e.jpg,7
First and First (Five Boroughs #3),15.97,4,In stock,Sequential Art,https://books.toscrape.com/media/cache/c4/d1/c4d1517cc9370e292366b6132ca9ca36.jpg,8
Fifty Shades Darker (Fifty Shades #2),21.96,1,In stock,Sequential Art,https://books.toscrape.com/media/cache/cc/bd/ccbdae9e29b3594301528fa2c876ec29.jpg,9
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,2,In stock,Nonfiction,https://books.toscrape.com/media/cache/64/94/6494bf61176ca73b61255909230030be.jpg,10
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,2,In stock,Sequential Art,https://books.toscrape.com/media/cache/95/30/953013d044aa313cc162dec414f3969a.jpg,11
Danganronpa Volume 1,51.99,4,In stock,Religion,https://books.toscrape.com/media/cache/78/97/7897eea91c4a85aca58d925861d4afec.jpg,12
Crown of Midnight (Throne of Glass #2),43.29,3,In stock,Romance,https://books.toscrape.com/media/cache/66/25/6625e3bbb050de3e42a0c302c0d69f1f.jpg,13
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,In stock,Sequential Art,https://books.toscrape.com/media/cache/f6/88/f688a9d6a89fdf38e4e88439ee9eda69.jpg,14
Camp Midnight,17.08,4,In stock,Sequential Art,https://books.toscrape.com/media/cache/dd/c9/ddc95df6754df8e71bf969c088056188.jpg,15
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5,In stock,Romance,https://books.toscrape.com/media/cache/88/9e/889e0bac4c7c0e7178f0165b8d3b4617.jpg,16
Burning,28.81,3,In stock,Historical Fiction,https://books.toscrape.com/media/cache/26/95/269507c7bb35d2cec9b61a03d1c28e67.jpg,17
Bossypants,49.46,2,In stock,Nonfiction,https://books.toscrape.com/media/cache/27/d2/27d20361745ec2f7be668b18a4da29da.jpg,18
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2,In stock,Default,https://books.toscrape.com/media/cache/e4/1d/e41d34204a1fffbf825d8beb3dbf4cbc.jpg,19
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,2,In stock,Fantasy,https://books.toscrape.com/media/cache/06/18/061811c5845d0e13bc04b2a755f0830f.jpg,20
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,In stock,Add a comment,https://books.toscrape.com/media/cache/78/0b/780b2c28122750c2c383846155815bf7.jpg,21
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,In stock,Add a comment,https://books.toscrape.com/media/cache/b7/e8/b7e84b78be3d9bb79b71156a5e5d4e42.jpg,22
"Pop Gun War, Volume 1: Gift",18.97,1,In stock,Sequential Art,https://books.toscrape.com/media/cache/c8/2f/c82f629a31b3f47bdb17ac14aa51076d.jpg,23
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,In stock,History,https://books.toscrape.com/media/cache/64/44/6444dacdcb9edaadbbd691524622aeb8.jpg,24
Patience,10.16,3,In stock,Sequential Art,https://books.toscrape.com/media/cache/01/72/01726c619a05114dca75bd840095016d.jpg,25
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,In stock,Sequential Art,https://books.toscrape.com/media/cache/cb/00/cb004189f548d75ad430d3ed19e6daa9.jpg,26
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,In stock,Food and Drink,https://books.toscrape.com/media/cache/03/88/03886a8502ca54dbce0d91c2568ab69d.jpg,27
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,In stock,Food and Drink,https://books.toscrape.com/media/cache/ea/9b/ea9b2cb8abbb317402e618445bade1e1.jpg,28
On a Midnight Clear,14.07,3,In stock,Science Fiction,https://books.toscrape.com/media/cache/a1/14/a114d70e7babf110ba42a389078e9a45.jpg,29
Obsidian (Lux #1),14.86,2,In stock,Young Adult,https://books.toscrape.com/media/cache/fc/72/fc72f158554b4b4164701e1dfa1153c7.jpg,30
My Paris Kitchen: Recipes and Stories,33.37,2,In stock,Sequential Art,https://books.toscrape.com/media/cache/f5/65/f565af3d9dd20a1ad72a1e7c4157387d.jpg,31
Masks and Shadows,56.4,2,In stock,Sequential Art,https://books.toscrape.com/media/cache/ff/e8/ffe81bf98f8386ef29e193abfb6f9c1e.jpg,32
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,In stock,Food and Drink,https://books.toscrape.com/media/cache/10/c6/10c61093002db1fec4089d8076678624.jpg,33
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,In stock,Sequential Art,https://books.toscrape.com/media/cache/d3/15/d3158e8d3546fb90cced3c1d44a92a34.jpg,34
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,In stock,Sequential Art,https://books.toscrape.com/media/cache/7e/a0/7ea062007ef00107e3c16d336b41fab2.jpg,35
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,In stock,Fantasy,https://books.toscrape.com/media/cache/5f/b1/5fb1bf88dcfda795606745ce35be5975.jpg,36
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,In stock,Sequential Art,https://books.toscrape.com/media/cache/98/d1/98d1c979c4bac9e147a6718946578b0f.jpg,37
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,In stock,Nonfiction,https://books.toscrape.com/media/cache/5f/52/5f52b1bc6d45daab2e330c744feb0359.jpg,38
Join,35.67,5,In stock,Self Help,https://books.toscrape.com/media/cache/93/63/9363f0065fbad5689f44fcf6e203eef3.jpg,39
In the Country We Love: My Family Divided,22.0,4,In stock,Fantasy,https://books.toscrape.com/media/cache/fe/ea/feeafd2ad7b3077f8e74cbb1da9e3c7d.jpg,40
Algorithms to Live By: The Computer Science of Human Decisions,30.81,1,In stock,Religion,https://books.toscrape.com/media/cache/23/b4/23b42e094c02d52b14b11a960d49610e.jpg,41
A World of Flavor: Your Gluten Free Passport,42.95,1,In stock,Fantasy,https://books.toscrape.com/media/cache/78/2e/782e315667ec50759b8603527ee33dec.jpg,42
